country_name,ctry_sh,iso3166_1a3,iso3166_snamelc,oegm_ctry_name,oegm_ctry_twoletter,oegc_ctry_name,oegc_loc_code,oegm_region_primary,oegts_country_name,oegts_region_midlev,oegts_region_highlev,oegts_origin_code,note
Ethiopia,,ETH,Ethiopia,,,Ethiopia,ETH,,Ethiopia,Sub-Saharan Africa,Africa and Middle East,ETH,
Fiji,,FJI,Fiji,,,Fiji,FJI,,Fiji,Oceania,Asia Pacific,FJI,
Finland,fin,FIN,Finland,FINLAND,FI,Finland,FI,Europe,Finland,Western Europe,Europe,FIN,
France,fra,FRA,France,FRANCE,FR,France,FR,Europe,France,Western Europe,Europe,FRA,
French Polynesia,,PYF,French Polynesia,,,,,,,,,,
Gabon,,GAB,Gabon,,,Gabon,GAB,,Gabon,Sub-Saharan Africa,Africa and Middle East,GAB,
Gambia,,GMB,Gambia (the),,,Gambia,GMB,,"Gambia,  The",Sub-Saharan Africa,Africa and Middle East,GMB,
Georgia,geo,GEO,Georgia,GEORGIA,,Georgia,GEO,Europe,Georgia,Emerging Europe,Europe,GEO,
Germany,deu,DEU,Germany,GERMANY,BD,Germany,DE,Europe,Germany,Western Europe,Europe,DEU,
Ghana,,GHA,Ghana,,,Ghana,GHA,,Ghana,Sub-Saharan Africa,Africa and Middle East,GHA,
Greece,grc,GRC,Greece,GREECE,GC,Greece,GR,Europe,Greece,Western Europe,Europe,GRC,
Grenada,,GRD,Grenada,,,,,,Grenada,Caribbean,Americas,GRD,
Guadeloupe,,GLP,Guadeloupe,,,,,,Guadeloupe,Caribbean,Americas,GLP,
Guam,,GUM,Guam,,,,,,,,,,
Guatemala,,GTM,Guatemala,,,Guatemala,GTM,,Guatemala,Central America,Americas,GTM,
Guernsey,,GGY,Guernsey,,,,,,,,,,
Guinea,,GIN,Guinea,,,Guinea,GIN,,Guinea,Sub-Saharan Africa,Africa and Middle East,GIN,
Guinea-Bissau,,GNB,Guinea-Bissau,,,Guinea-Bissau,GNB,,,,,,
Guyana,,GUY,Guyana,,,Guyana,GUY,,Guyana,South America,Americas,GUY,
Haiti,,HTI,Haiti,,,Haiti,HTI,,Haiti,Caribbean,Americas,HTI,
Honduras,,HND,Honduras,,,Honduras,HND,,Honduras,Central America,Americas,HND,
Hong Kong,hkg,HKG,Hong Kong,,,"Hong Kong, China",HKG2,,"Hong Kong, China",Northeast Asia,Asia Pacific,HKG,
Hungary,hun,HUN,Hungary,HUNGARY,HN,Hungary,HU,Europe,Hungary,Emerging Europe,Europe,HUN,
Iceland,,ISL,Iceland,,,Iceland,ISL,,Iceland,Western Europe,Europe,ISL,
India,ind,IND,India,INDIA,IN,India,IND,Asia Pacific,India,South Asia,Asia Pacific,IND,
Indonesia,idn,IDN,Indonesia,INDONESI,ID,Indonesia,IDN,Asia Pacific,Indonesia,Southeast Asia,Asia Pacific,IDN,
Iran,,IRN,Iran (Islamic Republic of),,,Iran,IRN,,"Iran, Islamic Rep.",Middle East,Africa and Middle East,IRN,
Iraq,,IRQ,Iraq,,,Iraq,IRQ,,Iraq,Middle East,Africa and Middle East,IRQ,
Ireland,irl,IRL,Ireland,IRELAND,IR,Ireland,IE,Europe,Ireland,Western Europe,Europe,IRL,
Israel,isr,ISR,Israel,ISRAELSR,IS,Israel,ISR,Africa and Middle East,Israel,Middle East,Africa and Middle East,ISR,
Italy,ita,ITA,Italy,ITALY,IT,Italy,IT,Europe,Italy,Western Europe,Europe,ITA,
Jamaica,,JAM,Jamaica,,,Jamaica,JAM,,Jamaica,Caribbean,Americas,JAM,
Japan,jpn,JPN,Japan,JAPAN,JP,Japan,JPN,Asia Pacific,Japan,Northeast Asia,Asia Pacific,JPN,
Jersey,,JEY,Jersey,,,,,,,,,,
Jordan,jor,JOR,Jordan,JORDAN,,Jordan,JOR,Africa and Middle East,Jordan,Middle East,Africa and Middle East,JOR,
Kazakhstan,kaz,KAZ,Kazakhstan,KAZAK,,Kazakhstan,KAZ,Europe,Kazakhstan,Emerging Europe,Europe,KAZ,
Kenya,ken,KEN,Kenya,KENYA,KY,Kenya,KEN,Africa and Middle East,Kenya,Sub-Saharan Africa,Africa and Middle East,KEN,
Kiribati,,KIR,Kiribati,,,,,,Kiribati,Oceania,Asia Pacific,KIR,
Kuwait,,KWT,Kuwait,,,Kuwait,KWT,,Kuwait,Middle East,Africa and Middle East,KWT,
Kyrgyzstan,,KGZ,Kyrgyzstan,,,Kyrgyzstan,KYR,,Kyrgyzstan,Emerging Europe,Europe,KGZ,
Lao People's Democratic Republic,,LAO,Lao People's Democratic Republic (the),,,Lao PDR,LAO,,Lao PDR,Southeast Asia,Asia Pacific,LAO,
Latvia,,LVA,Latvia,,,Latvia,LV,,Latvia,Emerging Europe,Europe,LVA,
Lebanon,,LBN,Lebanon,,,Lebanon,LBN,,Lebanon,Middle East,Africa and Middle East,LBN,
Lesotho,,LSO,Lesotho,,,Lesotho,LSO,,Lesotho,Sub-Saharan Africa,Africa and Middle East,LSO,
Liberia,,LBR,Liberia,,,Liberia,LBR,,,,,,
Libya,,LBY,Libya,,,Libya,LBY,,Libya,North Africa,Africa and Middle East,LBY,
Liechtenstein,,LIE,Liechtenstein,,,,,,,,,,
Lithuania,ltu,LTU,Lithuania,LITH,LT,Lithuania,LT,Europe,Lithuania,Emerging Europe,Europe,LTU,
Luxembourg,,LUX,Luxembourg,,,Luxembourg,LU,,Luxembourg,Western Europe,Europe,LUX,
Macao,mac,MAC,Macao,,,"Macao, China",MAC2,,"Macao, China",Northeast Asia,Asia Pacific,MAC,
Madagascar,,MDG,Madagascar,,,Madagascar,MDG,,Madagascar,Sub-Saharan Africa,Africa and Middle East,MDG,
Malawi,,MWI,Malawi,,,Malawi,MWI,,Malawi,Sub-Saharan Africa,Africa and Middle East,MVI,
Malaysia,,MYS,Malaysia,,,Malaysia,MYS,,Malaysia,Southeast Asia,Asia Pacific,MYS,
Maldives,,MDV,Maldives,,,Maldives,MDV,,Maldives,South Asia,Asia Pacific,MDV,
Mali,,MLI,Mali,,,Mali,MLI,,Mali,Sub-Saharan Africa,Africa and Middle East,MLI,
Malta,mlt,MLT,Malta,MALTA,MT,Malta,MLT,Europe,Malta,Emerging Europe,Europe,MLT,
Martinique,,MTQ,Martinique,,,,,,Martinique,Caribbean,Americas,MTQ,
Mauritania,,MRT,Mauritania,,,Mauritania,MRT,,,,,,
Mauritius,,MUS,Mauritius,,,,,,Mauritius,Sub-Saharan Africa,Africa and Middle East,MUS,
Mexico,mex,MEX,Mexico,MEXICO,MX,Mexico,MEX,Americas,Mexico,North America,Americas,MEX,
Micronesia,,FSM,Micronesia (Federated States of),,,,,,,,,,
Moldova,,MDA,Moldova (the Republic of),,,Moldova,MDA,,Moldova,Emerging Europe,Europe,MDA,
Monaco,,MCO,Monaco,,,,,,,,,,
Mongolia,,MNG,Mongolia,,,Mongolia,MON,,Mongolia,Northeast Asia,Asia Pacific,MNG,
Montenegro,,MNE,Montenegro,,,Montenegro,MNE,,Montenegro,Emerging Europe,Europe,MNE,
Montserrat,,MSR,Montserrat,,,,,,,,,,
Morocco,,MAR,Morocco,,,Morocco,MAR,,Morocco,North Africa,Africa and Middle East,MAR,
Mozambique,,MOZ,Mozambique,,,Mozambique,MOZ,,Mozambique,Sub-Saharan Africa,Africa and Middle East,MOZ,
Myanmar,,MMR,Myanmar,,,Myanmar,MMR,,Myanmar,Southeast Asia,Asia Pacific,MMR,
Namibia,,NAM,Namibia,,,Namibia,NAM,,Namibia,Sub-Saharan Africa,Africa and Middle East,NAM,
Nauru,,NRU,Nauru,,,,,,,,,,
Nepal,,NPL,Nepal,,,Nepal,NPL,,Nepal,South Asia,Asia Pacific,NPL,
Netherlands,nld,NLD,Netherlands (the),NETH,NL,Netherlands,NL,Europe,Netherlands,Western Europe,Europe,NLD,
Netherlands Antilles,,ANT,Netherlands Antilles,,,,,,Netherlands Antilles,Caribbean,Americas,ANT,ISO3661 alpha-3 code of ANT is transitional reserved
New Caledonia,,NCL,New Caledonia,,,,,,,,,,
New Zealand,,NZL,New Zealand,,,New Zealand,NZL,,New Zealand,Oceania,Asia Pacific,NZL,
Nicaragua,,NIC,Nicaragua,,,Nicaragua,NIC,,Nicaragua,Central America,Americas,NIC,
Niger,,NER,Niger (the),,,Niger,NER,,Niger,Sub-Saharan Africa,Africa and Middle East,NER,
Nigeria,,NGA,Nigeria,,,Nigeria,NGA,,Nigeria,Sub-Saharan Africa,Africa and Middle East,NGA,
Norfolk Island,,NFK,Norfolk Island,,,,,,,,,,
North Korea,,PRK,Korea (the Democratic People's Republic of),,,,,,,,,,
North Macedonia,,MKD,North Macedonia,,,Macedonia,MKD,,"Macedonia, FYR",Emerging Europe,Europe,MKD,
Norway,,NOR,Norway,,,Norway,NO,,Norway,Western Europe,Europe,NOR,
Oman,,OMN,Oman,,,Oman,OMN,,Oman,Middle East,Africa and Middle East,OMN,
Pakistan,,PAK,Pakistan,,,Pakistan,PAK,,Pakistan,South Asia,Asia Pacific,PAK,
Palau,,PLW,Palau,,,,,,,,,,
Palestine,,PSE,"Palestine, State of",,,,,,,,,,
Panama,,PAN,Panama,,,Panama,PAN,,Panama,Central America,Americas,PAN,
Papua New Guinea,,PNG,Papua New Guinea,,,Papua New Guinea,PNG,,Papua New Guinea,Southeast Asia,Americas,PNG,
Paraguay,,PRY,Paraguay,,,Paraguay,PRY,,Paraguay,South America,Americas,PRY,
Peru,,PER,Peru,,,Peru,PER,,Peru,South America,Americas,PER,
Philippines,,PHL,Philippines (the),,,Philippines,PHL,,Philippines,Southeast Asia,Asia Pacific,PHL,
Poland,pol,POL,Poland,POLAND,PL,Poland,PL,Europe,Poland,Emerging Europe,Europe,POL,
Portugal,prt,PRT,Portugal,PORTUGAL,PT,Portugal,PT,Europe,Portugal,Western Europe,Europe,PRT,
Puerto Rico,,PRI,Puerto Rico,,,Puerto Rico,PRI,,Puerto Rico,Caribbean,Americas,PRI,
Qatar,qat,QAT,Qatar,QATAR,QT,Qatar,QAT,Africa and Middle East,Qatar,Middle East,Africa and Middle East,QAT,
Reunion,,REU,Réunion,,,,,,Reunion,Sub-Saharan Africa,Africa and Middle East,REU,
Romania,,ROU,Romania,,,Romania,RO,,Romania,Emerging Europe,Europe,ROM,
Russian Federation,rus,RUS,Russian Federation (the),RUSSIA,RU,Russia,RU,Europe,Russia,Emerging Europe,Europe,RUS,
Rwanda,,RWA,Rwanda,,,Rwanda,RWA,,Rwanda,Sub-Saharan Africa,Africa and Middle East,RWA,
Saint Kitts and Nevis,,KNA,Saint Kitts and Nevis,,,,,,St. Kitts and Nevis,Caribbean,Americas,KNA,
Saint Lucia,,LCA,Saint Lucia,,,,,,St. Lucia,Caribbean,Americas,LCA,
Saint Martin,,MAF,Saint Martin (French part),,,,,,,,,,
Saint Vincent and the Grenadines,,VCT,Saint Vincent and the Grenadines,,,,,,St. Vincent / Grenadines,Caribbean,Americas,VCT,
Samoa,,WSM,Samoa,,,,,,,,,,
San Marino,,SMR,San Marino,,,,,,,,,,
Sao Tome and Principe,,STP,Sao Tome and Principe,,,,,,Sao Tome and Principe,Sub-Saharan Africa,Africa and Middle East,STP,
Saudi Arabia,sau,SAU,Saudi Arabia,SAUDISR,SB,Saudi Arabia,SAU,Africa and Middle East,Saudi Arabia,Middle East,Africa and Middle East,SAU,
Senegal,,SEN,Senegal,,,Senegal,SEN,,Senegal,Sub-Saharan Africa,Africa and Middle East,SEN,
Serbia,,SRB,Serbia,,,Serbia,RS,,Serbia,Emerging Europe,Europe,SRB,
Seychelles,,SYC,Seychelles,,,,,,Seychelles,Sub-Saharan Africa,Africa and Middle East,SYC,
Sierra Leone,,SLE,Sierra Leone,,,Sierra Leone,SLE,,Sierra Leone,Sub-Saharan Africa,Africa and Middle East,SLE,
Singapore,sgp,SGP,Singapore,SINGPORE,SG,Singapore,SGP2,Asia Pacific,Singapore,Southeast Asia,Asia Pacific,SGP,
Sint Maarten,,SXM,Sint Maarten (Dutch part),,,,,,,,,,
Slovakia,svk,SVK,Slovakia,SLOVAKIA,SK,Slovakia,SK,Europe,Slovak Republic,Emerging Europe,Europe,SVK,
Slovenia,,SVN,Slovenia,,,Slovenia,SI,,Slovenia,Emerging Europe,Europe,SVN,
Solomon Islands,,SLB,Solomon Islands,,,,,,Solomon Islands,Oceania,Asia Pacific,SLB,
Somalia,,SOM,Somalia,,,,,,,,,,
South Africa,zaf,ZAF,South Africa,SAFRICA,SA,South Africa,ZAF,Africa and Middle East,South Africa,Sub-Saharan Africa,Africa and Middle East,ZAF,
South Korea,kor,KOR,Korea (the Republic of),KOREA,KO,South Korea,KOR,Asia Pacific,South Korea,Northeast Asia,Asia Pacific,KOR,
South Sudan,,SSD,South Sudan,,,,,,,,,,
Spain,esp,ESP,Spain,SPAIN,SP,Spain,ES,Europe,Spain,Western Europe,Europe,ESP,
Sri Lanka,,LKA,Sri Lanka,,,Sri Lanka,LKA,,Sri Lanka,South Asia,Asia Pacific,LKA,
Sudan,,SDN,Sudan (the),,,Sudan,SDN,,Sudan,Sub-Saharan Africa,Africa and Middle East,SDN,
Suriname,,SUR,Suriname,,,Suriname,SUR,,Suriname,South America,Americas,SUR,
Sweden,,SWE,Sweden,,,Sweden,SE,,Sweden,Western Europe,Europe,SWE,
Switzerland,che,CHE,Switzerland,SWITZ,CH,Switzerland,CH,Europe,Switzerland,Western Europe,Europe,CHE,
Syria,,SYR,Syrian Arab Republic (the),,,,,,Syrian Arab Republic,Middle East,Africa and Middle East,SYR,
Taiwan,twn,TWN,Taiwan (Province of China),TAIWAN,TA,Taiwan,TAI,Asia Pacific,Taiwan,Northeast Asia,Asia Pacific,TAW,
Tajikistan,,TJK,Tajikistan,,,Tajikistan,TJK,,Tajikistan,Emerging Europe,Europe,TJK,
Tanzania,,TZA,"Tanzania, the United Republic of",,,Tanzania,TZA,,Tanzania,Sub-Saharan Africa,Africa and Middle East,TZA,
Thailand,tha,THA,Thailand,THAILAND,TH,Thailand,THA,Asia Pacific,Thailand,Southeast Asia,Asia Pacific,THA,
Timor-Leste,,TLS,Timor-Leste,,,,,,,,,,
Togo,,TGO,Togo,,,Togo,TGO,,Togo,Sub-Saharan Africa,Africa and Middle East,TGO,
Tokelau,,TKL,Tokelau,,,,,,,,,,
Tonga,,TON,Tonga,,,,,,Tonga,Oceania,Asia Pacific,TON,
Trinidad and Tobago,,TTO,Trinidad and Tobago,,,,,,Trinidad And Tobago,Caribbean,Americas,TTO,
Tunisia,,TUN,Tunisia,,,Tunisia,TUN,,Tunisia,North Africa,Africa and Middle East,TUN,
Turkey,tur,TUR,Turkey,TURKEY,TK,Turkey,TR,Europe,Turkey,Emerging Europe,Europe,TUR,
Turkmenistan,,TKM,Turkmenistan,,,Turkmenistan,TKM,,,,,,
Turks and Caicos Islands,,TCA,Turks and Caicos Islands (the),,,,,,,,,,
Tuvalu,,TUV,Tuvalu,,,,,,,,,,
Uganda,,UGA,Uganda,,,Uganda,UGA,,Uganda,Sub-Saharan Africa,Africa and Middle East,UGA,
Ukraine,,UKR,Ukraine,,,Ukraine,UR,,Ukraine,Emerging Europe,Europe,UKR,
United Arab Emirates,are,ARE,United Arab Emirates (the),UAEMOD,UM,UAE,ARE,Africa and Middle East,United Arab Emirates,Middle East,Africa and Middle East,ARE,
United Kingdom,gbr,GBR,United Kingdom of Great Britan and Northern Ireland,UK,UK,United Kingdom,UK,Europe,United Kingdom,Western Europe,Europe,GBR,
United States,usa,USA,United States,US,US,United States,US,Americas,United States,North America,Americas,USA,
Uruguay,,URY,Uruguay,,,Uruguay,URY,,Uruguay,South America,Americas,URY,
Uzbekistan,,UZB,Uzbekistan,,,Uzbekistan,UZB,,Uzbekistan,Emerging Europe,Europe,UZB,
Vanuatu,,VUT,Vanuatu,,,,,,Vanuatu,Oceania,Asia Pacific,VUT,
Venezuela,,VEN,Venezuela (Bolivarian Republic of),,,Venezuela,VEN,,"Venezuela, RB",South America,Americas,VEN,
Viet Nam,vnm,VNM,Viet Nam,VIETNAM,VT,Vietnam,VNM,Asia Pacific,Vietnam,Southeast Asia,Asia Pacific,VNM,
Virgin Islands (U.S.),,VIR,Virgin Islands (U.S.),,,,,,Virgin Islands (U.S.),Caribbean,Americas,VIR,
Yemen,,YEM,Yemen,,,Yemen,YEM,,"Yemen, Rep",Middle East,Africa and Middle East,YEM,
Zambia,,ZMB,Zambia,,,Zambia,ZMB,,Zambia,Sub-Saharan Africa,Africa and Middle East,ZMB,
Zimbabwe,,ZWE,Zimbabwe,,,Zimbabwe,ZWE,,Zimbabwe,Sub-Saharan Africa,Africa and Middle East,ZWE,
